"","citric acid","residual sugar","density","pH","alcohol","quality"
"44",0,2.5,0.99632,3.5,11.8,7
"45",0.07,2.2,0.9972,3.12,9.6,5
"46",0.6,2,0.9973,3.27,10.1,8
"47",0.41,2.4,0.99728,3.33,10.8,6
"48",0.13,1.9,0.99258,3.63,10.1,6
"49",0.32,1.8,0.99467,3.38,10.2,6
"50",0.43,2.1,0.99516,3.29,11.8,6
"51",0.29,2.5,0.99689,3.44,12.5,6
"52",0.5,2.6,0.9991,3.35,10.3,6
"53",0.21,2.2,0.9963,3.27,9.8,5
"54",0.39,3.3,0.9976,3.26,10.6,5
"55",0.08,1.7,0.9971,3.02,9.7,5
"56",0.49,1.5,0.99498,3.28,9.2,6
"57",0.26,1.9,0.99612,3.37,9.9,5
"58",0.12,2.3,0.9964,3.29,9.5,5
"59",0,1.8,0.99456,3.38,11.2,5
"60",0.23,1.5,0.99578,3.3,9.8,5
"61",0.07,2.8,0.99693,3.22,10.5,5
"62",0.39,2.9,0.99786,3.32,10.5,6
"63",0.19,1.8,0.9969,3.19,9.8,5
"64",0.18,1.6,0.99685,3.3,9.5,5
"65",0.6,2.2,0.9981,3.09,10.8,7
"66",0,1.4,0.9972,3.47,9.5,6
"67",0.21,2.1,0.9974,3.16,9.4,5
"68",0.05,2.2,0.9965,3.51,9.5,6
"69",0.06,3,0.99489,3.34,10.1,7
"70",0,4.3,0.99787,3.48,9.6,5
"71",0.02,2.5,0.99572,3.59,10.5,5
"72",0.37,2.6,0.9982,3.17,9.5,5
"73",0,2.1,0.99531,3.52,10,6
"74",0.02,2,0.9976,3.56,10.5,6
"75",0.19,2.4,0.99727,3.23,9.5,5
"76",0.44,2.6,1.0032,3.32,12,6
"77",0.32,2,0.99622,3.38,12,5
"78",0,1.6,0.9972,3.51,9.4,5
"79",0.24,1.8,0.9968,3.19,9.5,5
"80",0.39,2,0.9974,3.18,10.7,6
"81",0.21,2.5,0.99761,3.21,9,6
"82",0.02,2.1,0.9962,3.47,9.5,5
"83",0.09,1.8,0.99252,3.53,12,7
"84",0.22,2.3,0.99668,3.31,9.5,5
"85",0.33,2.4,0.9978,3.2,10.1,6
"86",0.27,1.9,0.99516,3.16,11.3,5
"87",0.57,2.3,0.9986,3.13,11,6
"88",0.01,2,0.99362,3.59,10.9,5
"89",0.55,2,0.9976,3.27,9.6,6
"90",0.23,1.9,0.9982,3.32,9.3,5
"91",0.26,2.1,0.9976,3.4,9.4,5
"92",0,2.1,0.99472,3.41,12.3,6
"93",0.49,5.5,1.0014,3.32,10.5,6
"94",0.29,2.6,0.9972,3.14,9.5,6
"95",0.66,1.9,0.9994,3.1,9,6
"96",0.42,2,0.99528,3.14,10.1,8
"97",0.53,1.9,0.99604,3.2,10.5,6
"98",0.22,2.5,0.99712,3.2,9.5,5
"99",0.03,1.9,0.99508,3.56,9.8,5
"100",0.06,2,0.99621,3.51,10.7,6
"101",0.49,2.5,0.9982,3.24,9.8,5
"102",0.09,3,1.00015,3.46,9.2,5
"103",0.22,2.5,0.9994,3.1,9.4,6
"104",0.14,2.1,0.99494,3.26,11.1,6
"105",0.39,2.2,0.9971,3.17,9.3,5
"106",0.13,2,0.99528,3.54,11,4
"107",0.04,1.9,0.99842,3.62,9.5,4
"108",0.05,2.9,0.99739,3.3,10.5,5
"109",0.4,1.5,0.99396,3.39,10.9,6
"110",0,1.6,0.99584,3.38,9.8,5
"111",0.3,1.9,0.999,3.3,9,4
"112",0,2.4,0.99774,3.47,9.9,5
"113",0.49,2.2,0.999,3.13,10.9,6
"114",0.27,1.9,0.99854,3.45,10.5,6
"115",0.33,4.4,0.99803,3.26,11.6,6
"116",0.55,1.7,0.9948,3.27,12.3,7
"117",0.22,2,0.9948,3.38,10.7,6
"118",0.64,2.6,0.99842,3.08,10.4,6
"119",0.19,4,0.9962,3.3,9.3,6
"120",0.02,2.1,0.99538,3.34,10.9,6
"121",0.49,2.5,0.9982,3.09,9.4,6
"122",0.49,2.9,1.00012,3.5,9.5,5
"123",0.02,2.4,0.99498,3.37,10.8,6
"124",0,2.3,0.99242,3.35,11,5
"125",0.53,5.1,0.99528,3.2,11,7
"126",0,1.7,0.9952,3.36,10.9,5
"127",0.33,3.4,0.99564,3.35,10.8,5
"128",0.36,2,0.9983,3.27,9,5
"129",0.49,2.9,0.9962,3.15,10.2,8
"130",0.52,2.4,0.99647,3.23,10,6
"131",0.24,3.4,0.9986,3.12,11,7
"132",0.44,1.9,0.9968,3.22,10.5,5
"133",0.43,2.3,0.99734,3.26,10.8,5
"134",0,1.4,0.9956,3.44,9.7,5
"135",0.01,2.2,0.99538,3.33,11.1,5
"136",0.06,1.6,0.9963,3.38,9.5,6
"137",0.11,2.4,0.99668,3.21,9.8,5
"138",0.49,2.3,0.9976,3.19,9.5,5
"139",0.14,2.1,0.99712,3.54,9.9,6
"140",0,2.6,0.99316,3.4,12,6
"141",0.26,1.9,0.99618,3.38,9,5
"142",0.26,2,0.99628,3.31,9.8,4
"143",0.49,2.6,0.99975,3.22,10.5,6
"144",0.49,2.9,1.001,3.26,9.4,5
"145",0.53,1.6,0.9986,3.17,9.7,6
"146",0.3,1.6,0.99438,3.31,11.2,7
"147",0.14,2.1,0.99462,3.41,11.5,6
"148",0.02,1.4,0.995,3.54,10.6,5
"149",0.34,1.9,0.9978,3.3,9,6
"150",0.12,2.6,0.99593,3.51,10.8,6
"151",0.34,2.5,0.99242,3.1,12.2,7
"152",0.39,3.3,0.9982,3.26,11,5
"153",0.02,2.1,0.9972,3.47,9.7,6
"154",0.14,1.9,0.9956,3.36,10.2,5
"155",0.05,2.3,0.9978,3.35,9.7,6
"156",0.4,2.6,0.9955,3.25,10.4,6
"157",0.03,2.5,0.99746,3.55,9.5,5
"158",0.39,1.7,0.9978,3.09,9,6
"159",0.24,3.3,1.0022,3.26,10,5
"160",0.09,1.8,0.99476,3.31,11.5,6
"161",0.1,1.8,0.9966,3.28,9.9,5
"162",0.22,2.5,0.9994,3.22,9.4,5
"163",0.25,2.4,0.99645,3.43,10.4,6
"164",0.31,3.2,0.9981,3.31,10,5
"165",0.06,2.3,0.9971,3.37,9.7,5
"166",0.26,2.6,0.9976,3.39,10.5,5
"167",0,1.9,0.995,3.34,10.2,6
"168",0.5,2.1,0.99735,3.04,10.1,6
"169",0.05,2.2,0.99512,3.62,11.4,6
"170",0.06,1.6,0.9969,3.43,9,5
"171",0.32,2,0.99736,3.42,10,6
"172",0,1.8,0.996,3.54,10,5
"173",0.13,2.3,0.99728,3.58,9.7,6
"174",0.14,6.3,0.99724,3.35,9.5,5
"175",0.28,1.8,0.997,3.28,9.7,6
"176",0.24,2,0.99648,3.27,9.5,5
"177",0.53,3.2,0.99562,3.21,12.4,6
"178",0.07,2.6,0.99744,3.51,10,7
"179",0.27,8.8,0.99824,3.17,10.5,7
"180",0.17,2.7,0.9976,3.19,9.5,6
"181",0.02,1.5,0.99736,3.34,10.8,6
"182",0.27,2.8,0.9984,3.22,9.2,5
"183",0,2.3,0.99786,3.31,9.5,4
"184",0.1,1.9,0.99525,3.46,10.2,6
"185",0.14,1.6,0.9955,3.35,9.9,5
"186",0.45,1.4,0.99704,3.22,10.0333333333333,6
"187",0.22,1.9,0.9946,3.39,10.1,6
"188",0,6.3,0.99531,3.49,12.4,7
"189",0.18,2,0.99498,3.14,12.1,7
"190",0.31,2.2,0.9948,3.4,12.3,7
"191",0,2.5,0.99852,3.59,9.8,5
"192",0.54,2.5,0.9986,3.12,9.2,6
"193",0.25,2.5,0.9976,3.21,9.2,5
"194",0.22,2.7,0.99688,3.43,10.4,5
"195",0.73,1.7,0.9973,3.2,13.6,8
"196",0.48,1.8,0.99476,3.1,10.4,6
"197",0.52,2.3,0.9934,3.34,11.1,5
"198",0.64,2,0.99558,3.26,12,6
"199",0.26,2.1,0.99622,3.37,9.7,6
"200",0,1.9,0.9968,3.52,9.7,5
"201",0.33,2.4,0.9986,3.41,10.7,6
"202",0.01,2.1,0.99508,3.44,11.5,5
"203",0.49,2.2,1.0002,3.19,9.3,5
"204",0,1.4,0.99668,3.37,9.5,5
"205",0.45,4.7,0.99828,3.27,11.4,7
"206",0.24,1.9,0.9958,3.21,10.1,5
"207",0.49,3.3,1.0014,3.07,12.7,7
"208",0.21,2.1,0.9974,3.32,9.8,5
"209",0.44,2,0.99728,3.22,11,7
"210",0,1.8,0.99672,3.68,11,5
"211",0.66,3,1.0004,3.19,10.6,6
"212",0.43,1.5,0.9958,3.28,10.4,5
"213",0.31,2,0.9976,3.24,9.5,4
"214",0.49,2.6,1.0004,3.15,9.2,5
"215",0.36,1.8,0.9976,3.15,11,7
"216",0,2.4,0.99362,3.36,12.4,5
"217",0.09,2.4,0.9986,3.18,10,6
"218",0.63,2.1,1.0004,3.2,10.9,6
"219",0.02,2.3,0.99557,3.35,10,4
"220",0.45,3.4,0.99852,3.1,9.2,5
"221",0.21,1.6,0.9968,3.13,9.8,3
"222",0.19,4,0.9948,3.39,12.3,7
"223",0.06,2.3,0.9948,3.51,10.8,6
"224",0.21,4,0.99587,3.37,9.7,5
"225",0.22,2.3,0.9971,3.32,9.4,7
"226",0.49,1.9,0.9991,3.03,9.6,4
"227",0,1.8,0.99467,3.61,10.9,5
"228",0.27,3.4,0.99572,3.31,11.7,6
"229",0.28,2.4,0.99064,3.34,9.3,5
"230",0.49,2.9,1.0004,3.16,9.2,6
"231",0.33,1.5,0.99498,3.22,11.4,6
"232",0.13,1.9,0.99604,3.23,9.3,5
"233",0.29,2.1,0.99668,3.3,10.4,7
"234",0.12,1.9,0.9963,3.37,8.7,4
"235",0.4,3.4,0.9986,3.28,11.8,7
"236",0.33,2.5,0.9963,3.34,10.1,4
"237",0.02,2.3,0.99745,3.52,9.7,5
"238",0.6,2.1,1.0004,2.88,12.9,7
"239",0.06,1.6,0.9946,3.39,11.2,7
"240",0.13,2,0.99546,3.32,11.2,5
"241",0.22,4.65,0.9982,3.37,9.5,5
"242",0.04,2.2,0.9955,3.6,10,6
"243",0.31,2.6,0.9987,3.38,9,5
"244",0.29,1.9,0.99573,3.24,10.7,8
"245",0.03,2.2,0.9967,3.56,10.8,6
"246",0.25,1.9,0.9952,3.38,11.2,5
"247",0.21,2.1,0.99588,3.27,9.5,7
"248",0.24,1.7,0.99692,3.19,9.5,4
"249",0,1.9,0.9934,3.56,12.5,6
"250",0.35,2,0.9948,3.39,11.3,6
"251",0.27,1.9,0.99396,3.17,11.4,6
"252",0.02,2.1,0.99534,3.53,11.8,6
"253",0.26,2.2,0.9983,3.49,9.4,5
"254",0.03,2,0.9955,3.34,10.7,6
"255",0.42,1.4,0.9973,3.36,9.5,5
"256",0.57,3.4,1,3.17,11.4,6
"257",0.13,2.5,0.99472,3.55,11.9,6
"258",0,2.1,0.997,3.22,9.6,5
"259",0,2.1,0.99636,3.37,10,5
"260",0.55,2,0.9982,3.24,11.8,6
"261",0.48,2.7,0.9973,3.04,9.3,6
"262",0.49,2,0.9968,3.45,12.7,6
"263",0.28,3.9,0.99408,3.37,12.4,7
"264",0.66,1.5,0.99572,3.08,10.6,6
"265",0.66,2.5,0.9988,3.11,9.2,5
"266",0.27,2.2,0.99728,3.35,9.9,5
"267",0.21,5.6,0.9976,3.28,9,5
"268",0.4,2.4,0.99572,3.39,11.7,6
"269",0.49,2.8,1.0014,3.04,11.4,6
"270",0.36,1.7,0.99627,3.29,10.9,6
"271",0.08,1.8,0.9948,3.45,9.5,5
"272",0.08,2.2,0.9955,3.44,10,5
"273",0.34,2.3,0.9994,3.52,9.8,6
"274",0,2.9,0.99701,3.56,9.3,5
"275",0.32,2.1,0.99622,3.26,10.6,7
"276",0.2,2.1,0.9974,3.16,9.6,5
"277",0.08,2.1,0.99552,3.58,9.7,5
"278",0.34,1.8,0.9972,3.38,10.8,6
"279",0.33,2.4,0.9944,3.48,11,6
"280",0.49,2.2,1.0032,3.16,12,5
"281",0.49,3,0.9976,3.18,9.3,6
"282",0.24,2.4,0.99633,3.22,9.2,5
"283",0.19,2.6,0.9996,3.19,9.7,6
"284",0.44,2.2,0.99836,3.27,11.8,6
"285",0,1.9,0.9976,3.48,9.6,5
"286",0.66,3.6,1.0014,3.08,10.5,6
"287",0.21,1.9,0.9958,3.35,9.9,6
"288",0.42,1.7,0.99458,3.3,12.1,8
"289",0.49,2.7,0.9982,3.08,10,5
"290",0.44,2.2,0.99925,3.18,9.3,5
"291",0.63,2.4,0.9987,3.08,9.5,5
"292",0.4,1.5,0.99774,3.35,9.5,5
"293",0.49,2.6,0.999,3.14,9.5,5
"294",0.45,4.3,0.9971,3.31,12.1,7
"295",0.53,2,0.99572,3.21,11,6
"296",0.42,2.6,0.9968,3.26,11.2,5
"297",0.49,2.9,0.9994,3.04,10.9,6
"298",0.11,2.5,0.9984,3.23,9.8,5
"299",0.04,2.8,0.9973,3.38,9.5,6
"300",0.29,2.3,0.9961,3.17,9.5,6
"301",0.1,1.7,0.99396,3.36,9.4,6
"302",0.05,1.9,0.9934,3.42,10.5,5
"303",0.49,2.2,0.99316,3.15,12.9,7
"304",0.27,2.6,0.99568,3.31,10.5,5
"305",0.24,2.8,0.9984,3.32,9,6
"306",0.3,2.1,0.9984,3.38,10.8,6
"307",0.32,2.6,0.99818,3.2,11,8
"308",0,2,0.99612,3.31,10,5
"309",0,1.8,0.99594,3.4,10.1,6
"310",0.53,2,0.9973,3.17,9.5,5
"311",0.08,3.4,0.9964,3.68,9.3,5
"312",0.26,1.9,0.99578,3.37,9.6,5
"313",0.25,1.7,0.9958,3.38,10.9,5
"314",0.32,2.6,0.9961,3.26,11.2,7
"315",0.06,1.7,0.9962,3.52,9.3,6
"316",0.34,2.4,0.9969,3.25,9.4,5
"317",0.15,2.3,0.9948,3.43,11.6,7
"318",0.2,2.1,0.99458,3.35,12,7
"319",0.2,3.2,0.9952,3.44,10.5,6
"320",0.49,2.6,0.9986,3.08,9.8,6
"321",0.42,2.1,0.99608,3.3,12.1,7
"322",0.3,1.8,0.99489,3.47,10,5
"323",0.5,6.6,0.99746,3.36,12.8,7
"324",0.01,2.1,0.99538,3.46,11.9,6
"325",0.29,2.1,0.9987,3.41,9.4,5
"326",0.59,2.6,1.00015,3.2,10.8,7
"327",0.01,2.4,0.99444,3.34,12.3,6
"328",0.21,2,0.9962,3.37,9.4,5
"329",0.53,4.3,1.00012,3.31,12.2,7
"330",0.04,2.1,0.9959,3.4,9.8,5
"331",0.28,2.8,0.9976,3.3,9.5,5
"332",0,3.7,0.99738,3.53,9.8,7
"333",0.22,2.2,0.9973,3.37,9.4,5
"334",0.01,2.1,0.9959,3.46,10.9,6
"335",0.49,2.3,0.99702,3.34,9.9,6
"336",0.33,2.4,0.995,3.35,11.7,8
"337",0,1.4,0.9916,3.68,12.8,6
"338",0.13,2,0.99499,3.19,10.1,6
"339",0,1.8,0.99292,3.78,12.3,8
"340",0.22,2.9,0.99659,3.22,9.3,5
"341",0.03,2.6,0.9964,3.53,10.5,5
"342",0.65,2.6,0.99728,3.4,9.4,6
"343",0.6,1.7,0.99716,3.31,9.5,7
"344",0.03,2.5,0.99568,3.36,9.7,6
"345",0.01,2.2,0.99538,3.42,11.8,6
"346",0.24,2.6,0.9983,3.16,9.7,6
"347",0.49,1.4,0.9976,3.2,9.4,5
"348",0.26,3.3,0.99622,3.28,9.8,6
"349",0.02,4,0.99732,3.47,9.8,5
"350",0,1.8,0.99191,3.56,11.8,5
"351",0.26,2.1,0.9964,3.21,9.6,6
"352",0.03,2.3,0.99774,3.51,10.5,7
"353",0.24,2,0.9972,3.26,9.4,6
"354",0,1.65,0.99538,3.36,11.8,7
"355",0.18,2,0.9961,3.29,9.7,5
"356",0.24,2.2,1.0004,3.22,10.3,7
"357",0.14,2.1,0.9991,3.44,10.5,6
"358",0.26,1.9,0.99668,3.14,9.5,5
"359",0.12,2,0.9968,3.26,9.4,5
"360",0.39,2,0.9988,3.24,9.4,5
"361",0.24,2.1,0.99494,3.14,10.5,5
"362",0.2,1.9,0.9958,3.41,9.3,5
"363",0.01,2.1,0.99718,3.4,10.6,5
"364",0.03,2.7,0.99627,3.35,10.8,6
"365",0.31,2.5,0.9984,3.26,9.3,5
"366",0.2,2.5,0.99692,3.26,10.1,6
"367",0.09,2.2,0.99444,3.33,10.6,6
"368",0.35,1.7,0.99478,3.2,13.1,6
"369",0,1.7,0.99294,3.78,12.1,6
"370",0.28,1.7,0.9947,3.26,9.7,5
"371",0.55,2.7,0.9952,3.32,12.5,6
"372",0.03,3,0.99672,3.43,11,5
"373",0.18,2.8,0.9976,3.54,9.4,6
"374",0.21,2.5,0.9961,3.18,9.7,5
"375",0.49,2.3,0.99656,3.26,9.7,7
"376",0.01,2.2,0.99609,3.32,9.4,5
"377",0.23,2.9,0.9986,3.32,9.3,5
"378",0.2,1.9,0.99613,3.29,9.3,5
"379",0.32,2.8,0.99732,3.3,11,5
"380",0.21,3,0.99608,3.56,11.3,6
"381",0.15,2.9,0.998,3.19,9.5,5
"382",0.36,1.5,0.99546,3.3,10.1,7
"383",0.13,2.2,0.99636,3.51,12.5,6
"384",0.05,1.6,0.9955,3.37,10.1,6
"385",0.2,2.1,0.99688,3.36,10.2,6
"386",0.31,3.2,0.99379,3.22,11,7
"387",0.09,1.9,0.99616,3.6,10,5
"388",0.24,1.9,0.9976,3.18,9.4,5
"389",0.43,5.5,0.9978,3.28,11,6
"390",0.52,2.2,0.99538,3.34,12.6,7
"391",0.52,2.8,0.9982,3.2,10.3,6
"392",0.53,2,0.99642,3.23,11.1,6
"393",0.41,3.3,0.9998,3.17,12.4,7
"394",0.21,3.4,0.9976,3.09,9.7,6
"395",0.28,2.7,0.9963,3.22,9.5,6
"396",0.53,2.7,0.99546,3.16,13.4,7
"397",0.04,2.5,0.998,3.33,9.9,5
"398",0.49,2.7,1,3.17,9.8,5
"399",0.31,6,0.99688,3.31,9,4
"400",0.48,2,0.99562,3.17,11,5
"401",0.45,6.3,0.9976,3.21,9.8,5
"402",0.02,2.2,0.99631,3.52,10.6,6
"403",0.04,1.9,0.99426,3.37,10.5,6
"404",0.34,2.1,0.9956,3.36,10.3,6
"405",0.08,2.1,0.9962,3.34,10.4,5
"406",0.1,2.3,0.99064,3.51,11.4,6
"407",0.12,2.8,0.9994,3.38,10,6
"408",0.13,5.15,0.99588,3.21,9.3,4
"409",0.31,2.7,0.9982,3.41,9,4
"410",0.28,2.1,0.9964,3.45,9.5,5
"411",0.49,1.6,0.9971,3.24,9.5,5
"412",0.24,4.3,0.9978,3.16,11.4,7
"413",0.39,1.6,0.99647,3.31,10.5,6
"414",0.26,2,0.9974,3.26,9.4,5
"415",0.57,2.7,0.9965,3.29,11.7,7
"416",0.36,2.6,0.99708,3.27,10.0333333333333,6
"417",0.49,2.6,0.9955,3.14,11.8,6
"418",0.12,1.8,0.99575,3.33,10,5
"419",0.45,2.3,0.9978,3.15,9.4,7
"420",0.32,2.8,0.99689,3.37,10.1,5
"421",0.27,2.5,0.99914,3.28,10.5,5
"422",0.21,2.1,0.99478,3.2,9.7,6
"423",0.1,1.8,0.99619,3.53,10.3,3
"424",0.34,1.8,0.9936,3.22,11.5,5
"425",0.24,2,0.9988,3.31,9.6,5
"426",0.53,2.2,0.99975,3.15,10.4,6
"427",0,1.9,0.99672,3.56,10.5,5
"428",0.14,2.4,0.99672,3.14,10.9,6
"429",0.21,1.9,0.9962,3.1,9.6,6
"430",0,1.5,0.99605,3.39,11.9,6
"431",0.08,1.8,0.9969,3.42,9.6,5
"432",0.51,1.7,0.99578,3.35,10,7
"433",0.21,1.7,0.99587,3.28,9.2,6
"434",0.53,2.2,0.99523,3.33,12.7,7
"435",0.31,2.6,0.9963,3.47,9.7,5
"436",0.63,2.5,0.99842,3.31,9.7,6
"437",0.32,2.2,0.9984,3.08,9.8,6
"438",0.08,2.1,0.99358,3.44,12.8,7
"439",0.07,1.6,0.99488,3.17,11,5
"440",0.24,2.8,0.998,3.28,9,6
"441",0.48,2.2,0.9997,3.17,12.6,8
"442",0.54,1.8,0.9984,3.02,10.8,6
"443",0.23,2,0.9964,3.22,9.2,5
"444",0.28,2.1,0.99256,3.38,11.9,6
"445",0.34,6.55,0.99536,3.21,12.3,7
"446",0.19,2.5,0.9959,3.39,9.8,5
"447",0.76,3.3,1.0004,3.16,9,5
"448",0.11,2.6,0.9956,3.2,10.8,5
"449",0.43,1.8,0.9976,3.07,10,6
"450",0,2.6,0.99642,3.53,11.6,5
"451",0.22,2.1,0.99584,3.3,10.9,6
"452",0.21,1.8,0.99714,3.53,9.9,7
"453",0.14,2.1,0.99622,3.31,9.8,5
"454",0.49,1.9,0.9959,3.2,9.8,5
"455",0.18,2.7,0.99736,3.52,9.7,5
"456",0.49,1.9,0.9964,3.32,11.9,8
"457",0.49,2.3,1.001,3.31,9.8,5
"458",0.56,1.5,0.9981,3.11,9.5,6
"459",0.5,2.3,0.9991,3.02,9.6,5
"460",0.63,6.8,1.00242,3.09,9.5,5
"461",0.04,3,0.9974,3.13,10,6
"462",0.32,3.1,0.99744,3.16,12.8,7
"463",0,1.9,0.99516,3.53,11.3,6
"464",0.27,4,0.9976,3.37,9.5,5
"465",0.49,2.6,0.9991,3.16,10.5,6
"466",0,1.3,0.99692,3.45,9.5,5
"467",0.21,2.5,0.99694,3.2,9.3,6
"468",0.3,1.8,0.99688,3.35,9.5,6
"469",0.56,2.4,0.9994,3.17,10.9,7
"470",0.15,2,0.99936,3.42,12.2,6
"471",0.21,2.1,0.99786,3.3,9.4,5
"472",0.17,2.8,0.99824,3.28,10.2,5
"473",0.31,2.6,0.9971,3.07,9.2,5
"474",0,1.4,0.99682,3.31,10.9,5
"475",0.19,2,0.99576,3.5,11,7
"476",0.03,2.5,0.99628,3.52,10.5,6
"477",0,2.4,0.99728,3.5,9.8,6
"478",0.34,3,0.9991,3.2,9.3,5
"479",0.04,2.4,0.9964,3.4,9.7,6
"480",0.02,1.8,0.99498,3.32,10.1,7
"481",0.01,2.7,0.99538,3.32,10.8,7
"482",0.49,3.2,1.0021,2.98,12,5
"483",0.53,2.95,0.9976,3.05,10.3,6
"484",0.65,2.3,0.99572,3.24,11.2,6
"485",0.28,2.8,0.99828,3.28,9.5,5
"486",0.53,3.2,0.9986,3.15,11,6
"487",0,2.3,0.99444,3.31,12.4,6
"488",0.41,2.8,0.99786,3.16,10.8,5
"489",0.22,2.5,0.9988,3.18,9.6,5
"490",0.64,2.6,0.9994,3.2,10.8,6
"491",0.01,2.5,0.99743,3.52,9.3,6
"492",0.34,2.6,0.9974,3.08,9.4,5
"493",0,3,0.9988,3.3,9.6,5
"494",0.3,2,0.997,3.41,9.9,5
"495",0.31,2.8,0.9976,2.98,9.4,5
"496",0.01,1.8,0.99609,3.32,9.4,4
"497",0.06,2.6,0.9982,3.31,9.6,5
"498",0.24,2.1,0.99444,3.38,12.5,7
"499",0,1.5,0.9959,3.38,10.9,6
"500",0,2.4,0.9968,3.7,10.1,6
"501",0,1.6,0.99538,3.45,9.8,5
"502",0.39,1.8,0.99652,3.32,10.8,7
"503",0.19,1.7,0.99668,3.19,10.1,6
"504",0.01,1.9,0.99784,3.72,9.6,5
"505",0.26,2,0.9987,3.37,9.3,5
"506",0.51,1.7,0.99519,3.32,11.6,6
"507",0.44,2.1,0.9979,3.22,9.2,5
"508",0.3,2.6,0.9965,3.3,10.2,6
"509",0.1,4.5,0.99631,3.34,9.5,5
"510",0.01,1.8,0.9963,3.28,9.7,5
"511",0.34,4,0.9988,3.33,9.9,6
"512",0.01,1.4,0.99566,3.32,10.8,6
"513",0,3,0.99242,3.47,11.5,7
"514",0.09,4.3,0.9976,3.33,12,7
"515",0.1,2.3,0.99803,3.26,9,5
"516",0.15,2.3,0.99488,3.28,10.8,5
"517",0.63,2.3,0.9986,3.1,10.8,6
"518",0.19,1.8,0.99458,3.58,11.4,7
"519",0.44,2.4,0.99459,3.42,11.5,6
"520",0.06,2.5,0.99746,3.52,10.5,6
"521",0.22,2.2,0.99476,3.1,11,6
"522",0.24,2.5,0.9976,3.07,9.4,5
"523",0.41,2.2,1.0002,3.08,10.8,6
"524",0.36,1.7,0.99652,3.22,11.1,6
"525",0.59,1.9,0.9978,3.3,9.4,5
"526",0.49,2.8,1.0014,3.12,9.4,5
"527",0.22,3,0.9964,3.26,9.2,5
"528",0.35,1.9,0.99182,3.25,12.5,6
"529",0,2.1,0.99774,3.23,9.4,5
"530",0.36,2.8,0.99516,3.15,11.8,6
"531",0,1.9,0.99498,3.45,9.5,6
"532",0.04,2,0.9958,3.72,12.9,6
"533",0.4,2.2,0.99498,3.19,11.8,6
"534",0.32,5.1,0.9963,3.34,10,6
"535",0.34,2.1,0.9955,3.26,10.1,4
"536",0.51,5.2,0.99652,3.3,11.4,7
"537",0.31,2.6,0.9981,3.48,9.5,6
"538",0.49,2,0.99688,3.29,10.5,5
"539",0.02,2.1,0.99599,3.53,10.9,6
"540",0.04,3,0.9976,3.34,9.4,5
"541",0.07,1.7,0.99467,3.16,12.8,6
"542",0.2,1.4,0.99609,3.2,11,7
"543",0.31,2.3,0.99745,3.31,9.6,7
"544",0.13,1.9,0.9957,3.27,9.7,5
"545",0.4,2,0.99476,3.1,9.8,6
"546",0.26,1.9,0.9976,3.26,9.4,5
"547",0.49,2,0.9976,3.16,11,7
"548",0.25,1.9,0.99616,3.28,9.9,5
"549",0.07,2.1,0.9956,3.4,10.2,5
"550",0.45,2,0.99586,3.17,10.5,7
"551",0.03,2.1,0.9967,3.52,10.7,6
